,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time,Locality
0,39.26260512,-85.83737224,"Fast Food, Rolls, Burger, Salad, Wraps",20.0,50.00,3.5,12,4,30,Hope
1,39.77593257,-85.74058103,"Ice Cream, Desserts",10.0,50.00,3.5,11,4,30,Greenfield
2,39.25343575,-85.12377878,"Italian, Street Food, Fast Food",15.0,50.00,3.6,99,30,65,Sunman
3,39.02984064,-85.33205,"Mughlai, North Indian, Chinese",25.0,99.00,3.7,176,95,30,Versailles
4,39.88228385,-85.51740684,"Cafe, Beverages",20.0,99.00,3.2,521,235,65,Knightstown
5,39.37044062,-85.73951559999999,"South Indian, North Indian, Chinese",15.0,50.00,3.8,46,18,30,Geneva
6,39.82180556,-85.00557692,"Beverages, Fast Food",15.0,50.00,3.7,108,31,30,Centerville
7,39.28032424,-85.14436284,"Chinese, Thai, Asian",65.0,50.00,4.0,1731,1235,45,Sunman
8,39.26881632,-85.60216807,"Mithai, Street Food",10.0,50.00,3.9,110,26,30,Westport
9,39.87452148,-85.43996296,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",20.0,50.00,3.9,562,294,65,New Castle
10,39.9283325,-85.16769125,"North Indian, Chinese, Mughlai",35.0,50.00,3.8,186,61,30,Hagerstown
11,39.39713844,-85.13530029,"Chinese, Thai, Indonesian, Italian",80.0,50.00,4.2,1693,1239,45,Brookville
12,39.30732483,-85.95007009999999,"Burger, Fast Food, Desserts, Beverages",15.0,50.00,0,0,0,30,Edinburgh
13,39.691917700000005,-85.44103659,Beverages,5.0,0.00,3.8,184,128,45,Rushville
14,39.65671842,-85.58876556,Fast Food,10.0,50.00,3.5,23,5,30,Morristown
15,39.97728307,-85.093808,"Biryani, Mughlai",10.0,50.00,3.6,353,53,30,Hagerstown
16,39.08688537,-85.86213009,Italian,10.0,50.00,0,0,0,30,Columbus
17,39.3169186,-85.03286776,"Chinese, North Indian, South Indian, Fast Food",20.0,50.00,3.7,139,47,30,Sunman
18,39.32256304,-85.91417317,"Kerala, Bihari",15.0,50.00,0,0,0,30,Edinburgh
19,39.01537008,-85.48212577,South Indian,10.0,50.00,3.7,159,46,30,North Vernon
20,39.04035565,-85.07508699,"Chinese, North Indian, Rolls, Momos",20.0,99.00,2.8,67,23,45,Dillsboro
21,39.26024791,-85.1826796,"North Indian, Rolls",15.0,50.00,3.9,387,160,45,Batesville
22,39.50725946,-85.3282007,"North Indian, Chinese",25.0,50.00,3.0,5,2,30,Rushville
23,39.12819257,-85.51174157,"Biryani, North Indian",20.0,99.00,3.7,138,26,65,Westport
24,39.17216717,-85.13841279,"North Indian, Chinese, Fast Food",15.0,50.00,3.2,4,1,30,Milan
25,39.33152871,-85.59425749,"Desserts, Ice Cream",10.0,50.00,0,0,0,45,Saint Paul
26,39.35372398,-85.72067562,"North Indian, Chinese",10.0,99.00,3.7,110,38,45,Geneva
27,39.15068439,-85.84951567,"Fast Food, South Indian, Street Food",15.0,50.00,3.2,15,9,45,Columbus
28,39.90737096,-85.77399833,North Indian,15.0,50.00,3.3,44,19,45,Ingalls
29,39.25831369,-85.34571572,"North Indian, Chinese",20.0,50.00,3.8,18,18,30,Batesville
30,39.73309187,-85.99816833,North Indian,15.0,50.00,3.2,18,7,30,Cumberland
31,39.04356204,-85.48927318,"Cafe, Mexican, Japanese, Italian, Chinese",40.0,50.00,4.0,189,132,30,North Vernon
32,39.27094825,-85.87305721,"Bakery, Fast Food, Rolls, Beverages",20.0,50.00,3.1,279,74,45,Lowell
33,39.25619902,-85.99034723,"North Indian, Chinese",35.0,99.00,3.3,22,13,45,Lowell
34,39.12420165,-85.93904552,North Indian,10.0,50.00,4.0,581,111,30,Columbus
35,39.24628894,-85.15291546,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",60.0,50.00,4.7,914,499,45,Sunman
36,39.37648495,-85.82867796,Street Food,10.0,50.00,3.4,23,7,30,Hope
37,39.40411112,-85.26715519,"Fast Food, South Indian",10.0,50.00,3.6,105,53,30,Batesville
38,39.62969093,-85.16622409,"Pizza, Fast Food",20.0,50.00,3.5,305,29,45,Connersville
39,39.54322828,-85.30579037,"Cafe, Desserts",30.0,50.00,3.6,54,34,30,Rushville
40,39.01000957,-85.86389745,"Mughlai, North Indian",20.0,50.00,4.0,1408,851,45,Seymour
41,39.49198127,-85.74235762,"Desserts, Beverages",15.0,50.00,4.1,806,513,45,Shelbyville
42,39.04229877,-85.89778192,"Bakery, Desserts, Beverages",15.0,50.00,3.7,41,22,30,Seymour
43,39.33423916,-85.7847045,South Indian,10.0,50.00,3.7,100,27,45,Hope
44,39.55719429,-85.0490149,North Indian,20.0,50.00,3.6,106,32,30,Connersville
45,39.33905711,-85.11733849,"North Indian, Street Food",20.0,50.00,3.8,37,25,30,Sunman
46,39.23335694,-85.15432866,"North Indian, Chinese",20.0,50.00,3.4,45,37,30,Sunman
48,39.97170279,-85.73759102,"Chinese, Fast Food",20.0,99.00,3.5,63,8,45,Pendleton
49,39.10785293,-85.99409462,Lucknowi,20.0,50.00,0,0,0,30,Columbus
50,39.86886292,-85.40162847,"South Indian, North Indian",15.0,50.00,3.1,253,35,30,New Castle
51,39.31408607,-85.33092024,"Biryani, Chinese",15.0,50.00,3.2,4,4,30,Batesville
